id,human_readable_id,text,n_tokens,document_ids,entity_ids,relationship_ids,covariate_ids
9a6129f36306906a87d079fc2fbd2498974e992eea944bebce064d9a71db94e84e20b09cc1b45881d761988a8f418c9dd393041685c74991251361bfe1fc1f04,0,"METADATA:
{
  ""parent_headings"": [
    ""# • 指 南 •""
  ]
}

CONTENT:
# • 指 南 •",8,['CN 中国偏头痛中西医结合防治指南（2022年）_1773147421'],['906cee26-c53d-4f2c-b495-0c51f1e25c0f'],['1e62e914-9dd9-4307-923c-7f85946d5b95'],[]
0812236ab3e741b535e8a95726095637f4b13d70425cc049ed115ec0a2dfbe0c70a889686850920e6ca80d90ef5dec66ab8ce013a32ab81b6fc52eeb5541a713,1,"METADATA:
{
  ""parent_headings"": [
    ""# 中国偏头痛中西医结合防治指南（2022 年）""
  ]
}

CONTENT:
中国中西医结合学会神经科专业委员会",19,['CN 中国偏头痛中西医结合防治指南（2022年）_1773147421'],"['73434ece-dda7-45da-af27-963a33ea636e'
 'e60cf92a-7ff4-4cf3-b6bb-0438a606e1e7'
 '6b8fa4fb-e324-4153-b08b-04fa7563b2be']",,[]
d396ad18c1749b988bca89f716838ee064def48e3baf66155c6a4e509e4b83e0e0b8ee41ef6511e629b636a8f1500997f949c0d692d8fd6bf3e97d78fcad4005,2,"METADATA:
{
  ""parent_headings"": [
    ""# 1 前言""
  ]
}

CONTENT:
偏头痛是临床常见的原发性头痛，以发作性的一侧或双侧中、重度搏动样的头痛为特征，可伴有恶心呕吐、畏光怕声等症状，一般持续 $4 { \sim } 7 2 \ \mathsf { h }$ 。具有反复发作的特点，属于慢性神经血管性疾病 [1]。偏头痛属于中医学“头痛”范畴，是以患者自觉头部疼痛为特征的一种常见病证，另有“脑风”“首风”“头风”“厥头痛”之名 [2] 。

偏头痛是影响健康的十大疾病之一，也是全球疾病负担（global burden of disease，GBD）的主要原因 [3]。偏头痛虽然不是致命性疾病，但造成的失能危害，与肢体瘫痪、精神疾病和失智症相当，而且是缺血性脑卒中的潜在危险因素，可与焦虑、抑郁疾病共患。因而，偏头痛需要及时就医并得到控制。

本病多起病于儿童和青春期，中青年期达到发病高峰；患病率 $5 \% { \sim } 1 0 \%$ ，约 $60 \%$ 的患者有家族史，已发现基因突变（如 MTHFR 基因的 C677T 等）是遗传风险因素；女性多见，约为男性的 2~3 倍。GBD研究显示偏头痛患病率逐年增加，2019 年时点患病率较1990年增加了 $1 . 7 \% ^ { [ 4 ] }$ 。但临床存在就诊率不高，预防性治疗比率低和药物镇痛过量的问题，因而提高对偏头痛防治的认识非常重要。

为指导和规范偏头痛的防治，国内于 2016 年发表了《中国偏头痛防治指南》[5]，2015 年发表了包含偏头痛的《中医临床诊疗指南释义》[6]。为规范和提高中西医结合防治偏头痛的医疗行为和水平，中国中西医结合学会神经科专业委员会经多次讨论制定了偏头痛中西医结合防治指南。",841,['CN 中国偏头痛中西医结合防治指南（2022年）_1773147421'],"['c5f6d5c9-f8eb-4880-9972-3bb50f919e50'
 '76154fee-b9c6-4e79-a50a-21abd98241cd'
 '22d225b1-76ff-426f-947a-ff0ac592f5e5'
 '2204a97f-dc1e-4a8c-af51-3898e309d8b3'
 '4c35f206-cc9e-420a-8dd1-88613035a6e0'
 '4227f7dc-7197-49ce-b2d2-a0c44c014f55'
 '45690bbb-e9fc-46b4-8778-66708108dd31'
 'e7089b88-114b-4106-a9bc-1cb868d81fbd'
 'e84c83c6-54f7-4eb3-91f6-dd7846895841'
 'f0deea7e-8ded-4408-8e52-98f37958a674'
 'b03c5748-459a-4425-b705-4d7500f78713']","['fec05194-9d36-4651-a122-098a3cdde928'
 '7fc08733-6521-4b37-ad90-cde67049c657'
 '99482d7e-b368-4c48-b92d-a7bf7b5ac08d'
 'cc24df05-89c4-4e0d-8b5a-7dd0649ded41'
 '314e9682-2f87-4e86-bb89-49b55bf53006'
 'f5310001-65e2-4c06-a91c-44defde19a6b']",[]
c140c162c90939e05a299d71572861e3812da213e3ed9a7bec1a0b3e61fdb805652a228f1d034b56e7b2b615d46016055104aaf15ae6f9d922243d025c251c97,3,"METADATA:
{
  ""parent_headings"": [
    ""# 2.1 指南制定原则""
  ]
}

CONTENT:
# 2.1 指南制定原则

遵循循证医学原则，在国内外偏头痛相关指南基础上，主要参考国际头痛协会发表的 ICHD-3（International Classification of Headache Disorders，

3rd edition）[7] ，《中国偏头痛防治指南》[5] ，2018年 苏 格 兰 校 际 指 南 网 络（Scottish IntercollegiateGuidelines Network，SIGN）发表的《偏头痛的药物治疗》[8] 和《中医临床诊疗指南释义》[6]，结合中西医防治偏头痛的最新研究证据，并依据临床现状和可行性进行制定。",226,['CN 中国偏头痛中西医结合防治指南（2022年）_1773147421'],"['c5f6d5c9-f8eb-4880-9972-3bb50f919e50'
 'cb9c02fd-f3de-4b1a-bdff-69a232667e00'
 'e8d7630c-ecf2-4adb-bc0c-7707f1c3878c'
 'a3479b4d-0655-418e-ae44-02213288ffe7'
 '79f0d7ba-c348-4761-9c9c-0fb5ed82672d']","['7d3add9d-2f29-42e6-a25d-5f002737950f'
 'd9de168c-bbe2-482c-99ac-f8269676fc12'
 'b138e213-7f86-4f9b-8fd3-5311e6205837'
 '9a527093-85f7-4929-86c4-7c59c868b455']",[]
dd608c502dd3df470da4739e60c9117f368d7c09893d7a66daf0f1880135abaaab38c47cce32f1f3256155851d6c9819a7d9ace0f1afaa233d5cea0edb7666a2,4,"METADATA:
{
  ""parent_headings"": [
    ""# 2.2 指南使用者与目标人群""
  ]
}

CONTENT:
本指南供中国神经科、中医科、中西医结合科、内科、康复科等医务工作者应用。应用目标人群为中国偏头痛患者。",59,['CN 中国偏头痛中西医结合防治指南（2022年）_1773147421'],"['64cbb355-a624-4174-9c88-7efb9eef2cd1'
 '3d96cb59-0236-4102-a6cd-ce40f0854545']",['464288ca-6376-41e0-ab88-76761db2077d'],[]
fafeca9006beea150ddc26d01f7626dd73339ebc97279ba19690260ecd08486a42d840a6a7fcc10014f621a01571a10508398e798582ce8e9d8bd055332f84f9,5,"METADATA:
{
  ""parent_headings"": [
    ""# 2.3 指南制订工作组""
  ]
}

CONTENT:
本指南制订工作组由中医专家、中西医结合专家、西医专家、循证医学专家和研究生共同组成。",51,['CN 中国偏头痛中西医结合防治指南（2022年）_1773147421'],['fa89ffdb-e755-48b5-a6ca-15100aae29c1'],['9bb305f9-6df9-47b6-a8b2-b3ba667786e4'],[]
26cdfeb8b4da5f299b28b04ed70798dad94c45baa9db39d3123eafa0718a71246a0b75a0c95782b5d47518a83aafe3428efcbb87d8a5df74278212364ed15601,6,"METADATA:
{
  ""parent_headings"": [
    ""# 2.4 文献检索""
  ]
}

CONTENT:
本 指 南 系 统 检 索 PubMed/Medline、CochraneLibrary、中国生物医学文献数据库、万方数据库、中国知网和中文科技期刊全文数据库。循证医学专家进行方法学培训，包括文献检索、文献筛选、证据提取和评价。本指南治疗措施的证据等级依据当前最新研究证据，搜索及引用文献主要为截至 2021 年 12 月31日正式发表的系统评价和Meta分析。",168,['CN 中国偏头痛中西医结合防治指南（2022年）_1773147421'],"['9ddc9c47-f5d0-423b-afa4-47458a018232'
 '34863ae1-402e-4e7c-bc6d-2d91f55eb7e4'
 'a88ae7b0-806a-4916-abf4-ba59a140414f'
 '4c3aba15-4a1f-4df8-be9f-feab65ec8ea4'
 'e04ff847-74a1-44c7-9ee7-a2a832e8ca8d'
 'cf187834-7c9e-4c9c-8649-b7b4344ad3d4'
 '4021e958-27bb-4a28-8450-e99d519dc300']","['9c2c05e2-0a8f-4559-9cb1-76b0dcd36703'
 'e48d7c51-7ce3-4f37-8157-8bf6cfaee2e6'
 '2e3803fc-118f-4f27-92d7-71a23735c41b'
 '997cd733-285f-4d74-bcec-ba6c722b0e9b'
 '25280bd2-a531-4767-9347-09fe55dfc871'
 'f8995c46-9f9c-4ea4-a567-fa085b3aa5fc'
 '8082e0a6-8880-4453-a436-c8b468bcc0d1']",[]
c56c082a1d67f7a82ea50c939b5293fc77c796523b73fbda1c19edae6897f1fbb60357c03d3a6538e7734aa79ad8dcd84e0eacca00191b66600d512dfa072bbf,7,"METADATA:
{
  ""parent_headings"": [
    ""# 2.5 证据等级分级标准及推荐强度""
  ]
}

CONTENT:
遵循循证医学原则，证据等级参照证据评价 与 推 荐 意 见 分 级、 制 定 和 评 价（Grading ofRecommendations，Assessment，Development andEvaluation，GRADE）分级系统 [9] ，将证据等级划分为高、中、低和极低4个等级（见表1）。本指南研究证据为系统评价和Meta分析，将其视为最高级别证据，根据GRADE系统进一步进行证据等级划分，即根据证据中的偏倚风险、不一致性、间接性、不精确性和发表偏倚，将证据质量分为高、中、低和极低等级。

推荐强度参照目前公认和被普遍采用的GRADE中的推荐意见，分为强推荐和弱推荐 [10]（见表 2）。本指南证据推荐意见根据证据质量、价值观念与偏好、成本与资源耗费、中西医结合的现状和经验、可行性和可及性等，系统考虑干预措施的利弊平衡，并经临床专家充分讨论达成共识。

表1 GRADE证据质量分级与定义  


<!-- TABLE_METADATA: {""type"": ""table"", ""page"": 0, ""table_idx"": 0, ""caption"": ""表1 GRADE证据质量分级与定义"", ""footnote"": """", ""extracted_from"": ""mineru_api""} -->
<table><tr><td>证据质量分级</td><td>定义</td></tr><tr><td>高（A）</td><td>对观察值非常有把握：观察值接近真实值</td></tr><tr><td>中（B）</td><td>对观察值有中等把握：观察值有可能接近真实值，但亦有可能差别很大</td></tr><tr><td>低（C）</td><td>对观察值的把握有限：观察值可能与真实值有较大差别</td></tr><tr><td>极低（D）</td><td>对观察值几乎无把握：观察值与真实值可能有极大差别</td></tr></table>

表2 GRADE推荐强度分级与说明  


<!-- TABLE_METADATA: {""type"": ""table"", ""page"": 0, ""table_idx"": 1, ""caption"": ""表2 GRADE推荐强度分级与说明"", ""footnote"": """", ""extracted_from"": ""mineru_api""} -->
<table><tr><td>推荐强度分级</td><td>说明</td><td>代码</td></tr><tr><td>强推荐</td><td>明确显示干预措施利大于弊或弊大于利</td><td>1</td></tr><tr><td>弱推荐</td><td>利弊不确定或无论质量高低的证据均显示利弊相当</td><td>2</td></tr></table>",866,['CN 中国偏头痛中西医结合防治指南（2022年）_1773147421'],"['7c25e444-4557-469d-9773-1b20830eafc5'
 '07ed842d-e6cc-46ee-92cb-0c29b384b55a'
 'cd6505e4-932b-4f8b-847d-a7ff14903196'
 '79e78e9a-5954-4673-a275-d1e16ec5133c'
 '60a73060-9ddd-4068-83bd-3da506c4f1b1'
 'a4b8c992-6bd1-491d-96a6-c1c4555b294a'
 'c7623878-de80-4321-82b8-1452e2186596']","['ee3adfc4-4786-4b8f-9f1f-e21c00a70a69'
 '027178b0-633d-49b8-b90e-a7d008031ff2'
 '19c04760-3a17-4cb4-91b8-02a2ac2b7c77'
 '9b4262f4-cab2-495a-97b5-a11861767a63'
 'cc7a30ca-470f-4432-be7d-e6940ee96c54'
 'ad1b0953-4c77-4576-aace-501d40542dca']",[]
5b2b629e920eee7acb2a8b6ed13d94c3e4d8b59416c6f36d7802477626230f54f08867caab065896c2f88ed0b27e72192dcd00e91dd319384c60c93ff5dc53e0,8,"METADATA:
{
  ""parent_headings"": [
    ""# 3 中西医结合诊断""
  ]
}

CONTENT:
采用辨病与辨证相结合的诊断方式。先根据西医偏头痛的诊断标准进行辨病诊断，再运用中医学理论与方法进行中医辨证诊断。",73,['CN 中国偏头痛中西医结合防治指南（2022年）_1773147421'],"['c5f6d5c9-f8eb-4880-9972-3bb50f919e50'
 'd810c848-a342-4f80-ae9d-2b08854d2b8e']",['11dcb60e-836a-4adb-9b06-fce3d77dda54'],[]
d5e6502552bdb0a2e4c3aa1f8e6e0cf7b6e6a0e4672de5df9d2a9e108988dd21f7628cc8fc797b8f7f289582e079c2f300f313cccb53f287451424e7887d181f,9,"METADATA:
{
  ""parent_headings"": [
    ""# 3.1 辨病诊断及临床分期分型""
  ]
}

CONTENT:
偏头痛的辨病诊断需要详细的病史询问、完整的神经系统体格检查、必要的影像学及实验室检查，首先排除颅内器质性疾病。",72,['CN 中国偏头痛中西医结合防治指南（2022年）_1773147421'],"['c5f6d5c9-f8eb-4880-9972-3bb50f919e50'
 'fb9639e2-c40d-4cf9-a131-f333b4a5e3e2'
 '2fca573c-8590-4d01-990e-e33f0af14ef2']",,[]
