id,human_readable_id,source,target,description,weight,combined_degree,text_unit_ids
1e62e914-9dd9-4307-923c-7f85946d5b95,0,指南,指南,是文档主题,1.0,10,['9a6129f36306906a87d079fc2fbd2498974e992eea944bebce064d9a71db94e84e20b09cc1b45881d761988a8f418c9dd393041685c74991251361bfe1fc1f04']
fec05194-9d36-4651-a122-098a3cdde928,1,偏头痛,慢性神经血管性疾病,属于,18.0,297,['d396ad18c1749b988bca89f716838ee064def48e3baf66155c6a4e509e4b83e0e0b8ee41ef6511e629b636a8f1500997f949c0d692d8fd6bf3e97d78fcad4005']
7fc08733-6521-4b37-ad90-cde67049c657,2,偏头痛,缺血性脑卒中,是潜在危险因素,14.0,299,['d396ad18c1749b988bca89f716838ee064def48e3baf66155c6a4e509e4b83e0e0b8ee41ef6511e629b636a8f1500997f949c0d692d8fd6bf3e97d78fcad4005']
99482d7e-b368-4c48-b92d-a7bf7b5ac08d,3,偏头痛,焦虑,偏头痛与焦虑是两种可能相互关联的疾病。研究表明，这两种疾病可共患，且焦虑可能导致或加重偏头痛的发生与发展。,28.0,301,"['d396ad18c1749b988bca89f716838ee064def48e3baf66155c6a4e509e4b83e0e0b8ee41ef6511e629b636a8f1500997f949c0d692d8fd6bf3e97d78fcad4005'
 '2653331ae1a0ba2677f7f7fede8c932f4b673f0e7e38b666bf8abe90cb1a55923a96232e869023bd456e3c3629127c57fc4c106fb80ebee74e25f5e088d36f51']"
cc24df05-89c4-4e0d-8b5a-7dd0649ded41,4,偏头痛,抑郁疾病,可共患,16.0,297,['d396ad18c1749b988bca89f716838ee064def48e3baf66155c6a4e509e4b83e0e0b8ee41ef6511e629b636a8f1500997f949c0d692d8fd6bf3e97d78fcad4005']
314e9682-2f87-4e86-bb89-49b55bf53006,5,中国偏头痛防治指南,偏头痛中西医结合防治指南,后续制定/相关指南,12.0,7,['d396ad18c1749b988bca89f716838ee064def48e3baf66155c6a4e509e4b83e0e0b8ee41ef6511e629b636a8f1500997f949c0d692d8fd6bf3e97d78fcad4005']
f5310001-65e2-4c06-a91c-44defde19a6b,6,中医临床诊疗指南释义,偏头痛中西医结合防治指南,后续制定/相关指南,7.0,3,['d396ad18c1749b988bca89f716838ee064def48e3baf66155c6a4e509e4b83e0e0b8ee41ef6511e629b636a8f1500997f949c0d692d8fd6bf3e97d78fcad4005']
7d3add9d-2f29-42e6-a25d-5f002737950f,7,偏头痛,《中国偏头痛防治指南》,关于,7.0,297,['c140c162c90939e05a299d71572861e3812da213e3ed9a7bec1a0b3e61fdb805652a228f1d034b56e7b2b615d46016055104aaf15ae6f9d922243d025c251c97']
d9de168c-bbe2-482c-99ac-f8269676fc12,8,偏头痛,《偏头痛的药物治疗》,关于,7.0,297,['c140c162c90939e05a299d71572861e3812da213e3ed9a7bec1a0b3e61fdb805652a228f1d034b56e7b2b615d46016055104aaf15ae6f9d922243d025c251c97']
b138e213-7f86-4f9b-8fd3-5311e6205837,9,偏头痛,《中医临床诊疗指南释义》,关于,1.0,297,['c140c162c90939e05a299d71572861e3812da213e3ed9a7bec1a0b3e61fdb805652a228f1d034b56e7b2b615d46016055104aaf15ae6f9d922243d025c251c97']
