doc_idx,chunk_idx,n_tokens,text_chunk
0,1,9,"METADATA:
{
  ""parent_headings"": [
    ""# •指南与规范•""
  ]
}

CONTENT:
# •指南与规范•"
0,2,493,"METADATA:
{
  ""parent_headings"": [
    ""# 中国前庭性偏头痛诊治指南 (2026)""
  ]
}

CONTENT:
中国医师协会神经内科医师分会头痛与感觉障碍学组  中国医药教育协会前庭医学专业委员会中国研究型医院学会头痛与感觉障碍专业委员会

摘 要 前庭性偏头痛是一种与偏头痛相关的常见发作性前庭疾病。然而，目前国内对该病仍存在认识及诊断不足或过度诊断等问题，需结合其疾病特点及诊疗进展形成规范化诊治体系。本指南由中国医师协会神经内科医师分会头痛与感觉障碍学组、中国医药教育协会前庭医学专业委员会、中国研究型医院学会头痛与感觉障碍专业委员会共同组织制定，在《前庭性偏头痛诊治专家共识 (2018)》基础上对国内外相关文献进行系统分析并评价，综合国内相关领域专家意见，针对前庭性偏头痛的临床表现、诊断及鉴别诊断、治疗方法等方面进行详细阐述，旨在提高临床医师对该疾病的认识和临床管理质量，使得更多病人获益。

关键词 前庭性偏头痛；规范化诊治；临床实践指南"
0,3,1603,"METADATA:
{
  ""parent_headings"": [
    ""# Clinical practice guidelines on diagnosis and treatment of vestibular migraine (2026)""
  ]
}

CONTENT:
Neurologist Branch of Chinese Medical Doctor Association-Headache and Sensory Disorders Group; Vestibular Medicine Professional Committee of China Medical Education Association; Headache and Sensory Disorders Professional Committee of Chinese Research Hospital Association

Abstract Vestibular migraine is a common episodic vestibular disorder related to migraine. However, lack of awareness, underdiagnosis or overdiagnosis of this disorder is still a problem in China. Therefore, a standardized diagnosis and treatment system should be built up based on disease characteristics and the progress of diagnosis and treatment. This clinical practice guideline is formulated mutually by Neurologist Branch of Chinese Medical Doctor Association-Headache and Sensory Disorders Group, Vestibular Medicine Professional Committee of China Medical Education Association, and Headache and Sensory Disorders Professional Committee of Chinese Research Hospital Association. It elaborates the clinical presentation, diagnosis and differential diagnosis, and treatment of vestibular migraine by systematically reviewing associated literature worldwide on the basis of《Expert consensus of diagnosing and treating vestibular migraine (2018)》for the aims of promoting the knowledge of this disorder and their clinical management skills ultimately benefiting more patients.

Keywords vestibular migraine; standardized diagnosis and treatment; clinical practice guidelines

前 庭 性 偏 头 痛 (vestibular migraine, VM) 是 一种与偏头痛相关的发作性前庭疾病，以反复发作的自发性或诱发性眩晕、头晕为核心表现，并常伴随偏头痛发作的特征性症状（如偏头痛性头痛、畏光畏声、视觉先兆等）[1]。美国一项调查研究显示，VM 的年患病率为 $2 . 7 \%$ ，已超过良性阵发性位置性眩晕 (benign paroxysmal positional vertigo, BPPV)，成为最常见的发作性前庭疾病 [2]，我国目前仍缺乏VM 的大规模流行病学研究数据。在特定人群中，VM 的患病率具有显著差异：偏头痛人群中患病率

为 $1 0 . 3 \% \sim 2 1 \% \ ^ { \left[ 3 - 5 \right] }$ ，在头晕专病门诊，VM 占比$4 . 2 \% \sim 2 9 . 3 \%$ ，是继 BPPV 后第二常见的发作性前庭疾病[6~9]。而在儿童群体中，VM与儿童复发性眩晕(recurrent vertigo of childhood, RVC) 则是儿童眩晕的最常见病因 [10~12]。尽管VM是临床常见的眩晕病因，但对其认识度仍显不足，经常被误诊或漏诊 [2,6]。

VM 的发病机制尚未完全阐明，现有假说多基于对偏头痛发病机制的研究延伸 [13]，其核心机制之一为三叉神经血管系统 (trigeminovascular system,TVS)异常激活学说-TVS的感觉纤维广泛投射至内耳、

前庭核团、下橄榄核、前庭小脑等周围及中枢前庭结构，通过神经递质释放或炎症反应等途径诱发前庭症状 [14~16]，其他潜在机制涉及遗传易感性 [17~19]、皮质扩散性抑制 (cortical spreading depression, CSD) [20]、中枢信号整合异常 [21,22] 及离子通道缺陷 [23] 等多个方面。上述机制并非孤立存在，而是通过复杂的交互作用共同参与VM的病理进程。

VM 曾用名包括偏头痛相关性眩晕/头晕、偏头痛相关性前庭功能障碍、偏头痛性眩晕等 [24~26]。1999 年，Dieterich 和 Brandt [27] 首次提出采用“前庭性偏头痛”这一术语作为此类疾病的诊断。VM的诊断标准在 2012 年由国际头痛学会和国际 Bárány学会共同提出[28]，并纳入到2018年国际头痛疾病分类第 3 版 (The International Classification of Headachedisorders, 3rd Edition, ICHD-3) 标准偏头痛的附录中 [29]。同期，我国于 2018 年发布《前庭性偏头痛诊治专家共识 (2018)》[30]，有效推动了国内 VM 诊疗的规范化进程。

近年来，随着 VM 研究的持续深入及临床证据的不断积累，原有共识的更新需求日益迫切。经中国医师协会神经内科医师分会头痛与感觉障碍学组、中国医药教育协会前庭医学专业委员会及中国研究型医院学会头痛与感觉障碍专业委员会组织国内专家多次研讨，在系统梳理国内外最新研究进展的基础上，结合 2018 年版共识临床应用中发现的问题，最终制定并发布《中国前庭性偏头痛诊治指南 (2026)》，旨在进一步规范国内 VM 诊疗流程，推动诊疗水平的提升。"
0,4,241,"METADATA:
{
  ""parent_headings"": [
    ""# （一）指南发起机构和专家组成""
  ]
}

CONTENT:
# （一）指南发起机构和专家组成

本指南制订由中国医师协会神经内科医师分会头痛与感觉障碍学组、中国医药教育协会前庭医学专业委员会、中国研究型医院学会头痛与感觉障碍专委会共同发起。本指南编写工作汇集了来自中国人民解放军总医院等全国多家医疗机构的 100 余位专家，涵盖神经内科、耳鼻咽喉头颈外科、疼痛科、临床流行病学及循证医学等多个学科，经多轮深入研讨与修订，共同制定而成。"
0,5,79,"METADATA:
{
  ""parent_headings"": [
    ""# （二）指南使用者与应用目标人群""
  ]
}

CONTENT:
本指南供神经内科、耳鼻喉科、疼痛科及普通内科从事眩晕、头痛诊疗的专业人员参考。本指南推荐意见的应用目标人群为VM病人。"
0,6,347,"METADATA:
{
  ""parent_headings"": [
    ""# （三）证据和文献检索""
  ]
}

CONTENT:
本 指 南 对 2025 年 6 月 前 PubMed、Medline、Cochrane、Embase 等外文数据库、中国知网 (CNKI)、

维普、万方医学网、中华医学期刊全文数据库、中国生物医学文献服务系统等中文数据库进行检索，语种限为英文和中文。主要纳入系统评价、荟萃分析、随机对照试验、队列研究、病例对照研究、病例系列、流行病学调查等原始研究及相关的指南、共识等。英文检索主要关键词为“vestibular migraine”“pathogenesis”“epidemiology”“clinical manifes-tation”“vestibular function tests”“pure-tone audi-ometry”“neuroimaging”“diagnosis”“differentialdiagnosis”“management”“treatment”；中文检索主要关键词为“前庭性偏头痛”“发病机制”“流行病学”“临床表现”“前庭功能检查”“纯音测听”“神经影像”“诊断”“鉴别诊断”“处理”“治疗”等。"
0,7,212,"METADATA:
{
  ""parent_headings"": [
    ""# （四）证据评价与分级""
  ]
}

CONTENT:
按照推荐分级的评估、制定与评价 (Grading ofRecommendations Assessment, Development and Eval-uation, GRADE) 的要求将证据质量分为 4 级 [31]。采用证据到推荐表方式，指南的推荐意见基于最高等级的研究数据，当无高质量研究或者研究结论不确定时，结合医学干预的利弊权衡、我国临床诊治现状、价值观念与偏好、医疗成本与资源、相关诊疗措施在我国的有效性和可行性等因素，在此基础上经专家讨论给出2级推荐意见（见表1）。"
0,8,653,"METADATA:
{
  ""parent_headings"": [
    ""# （五）指南推广、实施与修订""
  ]
}

CONTENT:
本指南已在国际实践指南注册与透明化平台(http://www.guidelines-registry.cn) 进行注册（注册号：PREPARE- 2024CN255）。通过广泛检索和评价近年来国内外 VM 相关研究进展，结合我国临床医师的实际诊疗经验及诊疗现状，经过多轮专家意见调研，共同起草并议定诊疗相关意见。本指南将采用学术期刊出版进行发布和其他方式（如学术会议以

表1 证据质量及推荐强度分级   


<!-- TABLE_METADATA: {""type"": ""table"", ""page"": 0, ""table_idx"": 0, ""caption"": ""表1 证据质量及推荐强度分级 "", ""footnote"": """", ""extracted_from"": ""mineru_api""} -->
<table><tr><td>级别</td><td>详细说明</td></tr><tr><td>证据质量分级</td><td></td></tr><tr><td>高(A)</td><td>非常有把握：观察值接近真实值</td></tr><tr><td>中(B)</td><td>对观察值有中等把握：观察值有可能接近真实值，但也有可能差别很大</td></tr><tr><td>低(C)</td><td>对观察值的把握有限：观察值可能与真实值有很大差别</td></tr><tr><td>极低(D)</td><td>对观察值几乎没有把握：观察值与真实值可能有极大差别</td></tr><tr><td>推荐强度分级</td><td></td></tr><tr><td>强(1)</td><td>明确显示干预措施利大于弊或弊大于利</td></tr><tr><td>弱(2)</td><td>利弊不确定或无论质量高低的证据均显示利弊相当</td></tr></table>

及社交媒体等）传播。也可充分发挥学术组织的作用，对指南以专题形式进行系统学习和应用。对有争议或出现新证据的领域，指南将及时更新。"
0,9,319,"METADATA:
{
  ""parent_headings"": [
    ""# 二、临床表现""
  ]
}

CONTENT:
VM 女 性 多 于 男 性， 女 性 与 男 性 比 例 为$1 . 5 \sim 1 2 . 4 { : } 1$ 。发病年龄在 $8 \sim 6 4$ 岁，平均发病年龄 $3 7 . 9 \sim 4 4 . 3 $ 岁，眩晕症状的起始年龄通常晚于偏头痛的起病年龄 [5,32~37]。一些女性病人进入围绝经期时头痛的程度与既往相比呈明显减轻的趋势，前庭症状替代偏头痛成为影响病人工作生活的主要因素 [38]。 $3 7 \% \sim 7 3 . 1 \%$ 的 VM 病人有偏头痛家族史，28.1%～66.2% 有发作性眩晕的家族史 [5,32,33,37]。 $2 8 . 1 \% \sim 6 6 . 2 \%$"
0,10,577,"METADATA:
{
  ""parent_headings"": [
    ""# （一）前庭症状特征""
  ]
}

CONTENT:
VM 的前庭症状主要为自发性的发作性眩晕，包括内在性眩晕（自我运动的错觉）及外在性眩晕（外部环境运动错觉）；其次为头动或位置诱发的眩晕、视觉诱发的眩晕以及头动诱发的头晕并伴恶心 [39,40]。尽管单次 VM 发作不一定同时出现 2 类以上的前庭症状，但在其整个病程中，VM 病人通常会经历上述几种不同类型的前庭症状[32,33]。

前庭症状的持续时间存在显著异质性，多数发作持续数分钟至数小时，极少超过 $^ { 7 2 \mathrm { ~ h ~ } }$ 。单次前庭症状发作的持续时间少于 $5 ~ \mathrm { { m i n } }$ 、 $5 \sim 6 0 ~ \mathrm { m i n }$ 、 $1 \sim$ $^ { 2 4 \mathrm { ~ h ~ } }$ 、 $2 4 \sim 7 2 \mathrm { ~ h ~ }$ 的比率，分别占VM的 $2 3 \% { \sim } 2 5 \%$ 、$2 1 . 8 \% { \sim } 3 8 . 5 \%$ 、 $2 9 \% \sim 5 5 . 4 \%$ 、 $5 . 5 \% \sim 2 1 . 1 \% ^ { \mathrm { ~ [ ~ } }$ [3,5,32]。约$10 \%$ VM 病人发作期表现为在头动、视觉刺激或头位变动后诱发的短暂性（数秒）眩晕或头晕，对其总发作时长需通过反复短暂眩晕/头晕发作的累计时间评估 [5,40]。少数病人可能需要数周才能从一次前庭症状发作中完全恢复 [40]。"
